DayNum,VehId,Trip,Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW]
1.586651194,8,706,65,9.100000381,1961,31.37254906,10,13,1.45
1.586651194,8,706,64,6.960000038,1938,31.37254906,7,9,0.30
1.586651194,8,706,63,6.960000038,1938,31.37254906,18,7,4.83
1.586651194,8,706,62,9.350000381,1901,31.37254906,25,4,2.25
1.586651194,8,706,62,9.350000381,1901,34.11764908,17,10,1.55
1.586651194,8,706,62,9.420000076,1880,34.11764908,10,15,4.04
1.586651194,8,706,62,7.369999886,1892,34.11764908,11,15,0.67
1.586651194,8,706,62,7.369999886,1892,31.76470566,26,6,1.39
1.586651194,8,706,62,8.850000381,1892,31.76470566,29,8,0.48
1.586651194,8,706,62,10.10000038,1889,31.76470566,27,12,4.56
1.586651194,8,706,62,10.40999985,1879,37.25490189,20,6,0.17
1.586651194,8,706,61,7.21999979,1862,37.25490189,19,10,3.37
1.586651194,8,706,60,7.21999979,1862,37.25490189,3,9,3.78
1.586651194,8,706,60,10.10000038,1832,37.25490189,16,9,3.51
1.586651194,8,706,60,10.10000038,1832,33.33333206,20,5,0.79
1.586651194,8,706,60,8.789999962,1807,33.33333206,12,11,0.77
1.586651194,8,706,59,8.789999962,1807,33.33333206,-5,15,3.61
1.586651194,8,706,59,3.789999962,1717,33.33333206,28,11,3.42
1.586651194,8,706,57,3.789999962,1717,33.33333206,12,14,2.35
1.586651194,8,706,55,3.789999962,1717,33.33333206,15,15,1.24
1.586651194,8,706,55,3.49000001,1584,14.90196133,-5,15,0.89
1.586651194,8,706,50,3.49000001,1584,14.90196133,12,5,3.95
1.586651194,8,706,49,13.05000019,1470,14.90196133,7,11,2.71
1.586651194,8,706,49,5.460000038,1461,14.90196133,25,10,2.01
1.586651194,8,706,49,5.460000038,1461,18.4313736,14,15,2.93
1.586651194,8,706,47,5.460000038,1461,18.4313736,27,13,3.72
1.586651194,8,706,47,3.849999905,1381,18.4313736,30,11,3.34
1.586651194,8,706,45,3.849999905,1381,18.4313736,8,15,3.14
1.586651194,8,706,44,3.849999905,1381,18.4313736,28,13,2.10
1.586651194,8,706,44,3.849999905,1277,18.4313736,5,15,3.49
1.586651194,8,706,41,3.849999905,1277,18.4313736,30,9,3.49
1.586651194,8,706,41,2.579999924,1169,14.90196133,24,8,0.90
1.586651194,8,706,39,2.579999924,1169,14.90196133,8,8,2.49
1.586651194,8,706,36,2.579999924,1169,14.90196133,13,15,4.67
1.586651194,8,706,34,2.299999952,1016,14.90196133,14,15,4.49
1.586651194,8,706,31,2.299999952,1016,14.90196133,16,10,0.83
1.586651194,8,706,24,2.210000038,754,14.90196133,23,14,2.45
1.586651194,8,706,24,2.210000038,754,18.8235302,13,15,1.01
1.586651194,8,706,24,2.279999971,772,18.8235302,2,7,0.32
1.586651194,8,706,19,2.279999971,772,18.8235302,22,11,0.18
1.586651194,8,706,8,2.279999971,772,18.8235302,15,15,0.09
1.586651194,8,706,8,2.170000076,745,18.8235302,14,13,5.00
1.586651194,8,706,2,2.170000076,745,18.8235302,-3,10,1.33
1.586651194,8,706,2,2.190000057,694,20,20,6,3.13
1.586651194,8,706,2,2.190000057,711,20,14,15,2.64
1.586651194,8,706,2,6.099999905,711,20,7,12,4.45
1.586651194,8,706,2,6.099999905,711,56.86274719,-5,8,0.32
1.586651194,8,706,2,6.099999905,1599,56.86274719,-1,8,2.72
1.586651194,8,706,2,12.53999996,1599,56.86274719,21,6,2.57
1.586651194,8,706,2,12.53999996,1599,51.76470566,26,7,3.93
1.586651194,8,706,11,12.53999996,1599,51.76470566,15,6,3.87
1.586651194,8,706,11,12.53999996,1883,51.76470566,2,8,2.30
1.586651194,8,706,11,13.65999985,1883,51.76470566,20,8,4.90
1.586651194,8,706,18,13.65999985,1883,51.76470566,6,11,4.81
1.586651194,8,706,20,13.65999985,1883,51.76470566,7,10,2.00
1.586651194,8,706,20,13.65999985,1624,51.76470566,6,12,0.25
1.586651194,8,706,20,13.56999969,1624,51.76470566,1,9,0.08
1.586651194,8,706,25,13.56999969,1624,51.76470566,17,15,2.34
1.586651194,8,706,25,13.56999969,1624,70.58823395,11,7,0.37
1.586651194,8,706,32,13.56999969,2501,70.58823395,15,10,0.75
1.586651194,8,706,32,5.369999886,2501,70.58823395,21,5,1.07
1.586651194,8,706,32,5.369999886,2501,70.58823395,20,14,2.55
1.586651194,8,706,37,22.36000061,2074,70.58823395,0,11,2.66
1.931786287,8,707,36,29.70999908,2539,48.62745285,23,5,4.97
1.931786287,8,707,36,29.70999908,2539,15.68627453,6,4,1.05
1.931786287,8,707,39,26.37999916,2179,15.68627453,-5,12,1.53
1.931786287,8,707,44,26.37999916,2179,15.68627453,17,5,4.53
1.931786287,8,707,49,32.88999939,2714,15.68627453,27,4,0.91
1.931786287,8,707,53,22.80999947,2109,72.94117737,19,12,0.22
1.931786287,8,707,55,22.80999947,2109,72.94117737,27,7,4.70
1.931786287,8,707,58,27.28000069,2328,72.94117737,7,9,1.68
1.931786287,8,707,61,27.28000069,2328,72.94117737,5,8,2.47
1.931786287,8,707,64,32.43999863,2552,72.94117737,16,12,0.85
1.931786287,8,707,64,32.43999863,2552,81.17647552,14,13,3.43
1.931786287,8,707,67,32.43999863,2552,81.17647552,-2,13,1.49
1.931786287,8,707,67,19.95999908,2011,81.17647552,9,11,2.33
1.931786287,8,707,67,23.15999985,2089,81.17647552,-4,13,4.41
1.931786287,8,707,68,23.15999985,2089,81.17647552,27,14,1.92
1.931786287,8,707,69,23.15999985,2089,81.17647552,7,8,1.13
1.931786287,8,707,69,23.15999985,2089,40.7843132,26,10,0.65
1.931786287,8,707,69,12.68000031,2072,40.7843132,-5,13,3.38
1.931786287,8,707,68,12.68000031,2072,40.7843132,28,12,2.25
1.931786287,8,707,68,4.320000172,2011,40.7843132,18,5,0.10
1.931786287,8,707,66,4.320000172,2011,40.7843132,-5,8,1.42
1.931786287,8,707,64,4.320000172,2011,40.7843132,2,10,2.50
1.931786287,8,707,64,4.130000114,1932,40.7843132,12,8,1.32
1.931786287,8,707,61,4.130000114,1932,40.7843132,29,11,1.58
1.931786287,8,707,61,4.130000114,1932,14.11764717,20,7,0.57
1.931786287,8,707,59,4.130000114,1932,14.11764717,23,15,1.12
1.931786287,8,707,59,3.940000057,1789,14.11764717,19,14,3.87
1.931786287,8,707,57,3.940000057,1789,14.11764717,-4,5,4.38
1.931786287,8,707,55,3.940000057,1789,14.11764717,10,8,0.28
1.931786287,8,707,55,3.700000048,1678,14.11764717,30,6,3.09
1.931786287,8,707,54,3.700000048,1678,14.11764717,16,10,1.74
1.931786287,8,707,53,3.700000048,1678,14.11764717,26,7,1.79
1.931786287,8,707,53,2.410000086,690,22.74509811,-1,6,1.54
1.931786287,8,707,50,2.410000086,690,22.74509811,17,9,0.32
1.931786287,8,707,46,2.410000086,690,22.74509811,2,9,0.38
1.931786287,8,707,46,2.25999999,721,22.74509811,4,9,3.98
1.931786287,8,707,43,2.25999999,721,22.74509811,17,12,2.58
1.931786287,8,707,38,2.25999999,721,22.74509811,7,10,3.94
1.931786287,8,707,38,2.319999933,712,22.74509811,13,6,4.84
1.931786287,8,707,31,2.319999933,712,22.74509811,7,8,2.56
1.931786287,8,707,31,2.319999933,712,23.13725472,15,10,3.78
1.931786287,8,707,25,2.319999933,712,23.13725472,-3,8,4.27
1.931786287,8,707,25,2.410000086,715,23.13725472,25,11,3.75
1.931786287,8,707,19,2.410000086,715,23.13725472,12,9,4.38
1.931786287,8,707,13,2.410000086,715,23.13725472,26,13,0.48
1.931786287,8,707,13,2.410000086,678,23.13725472,26,5,1.51
1.931786287,8,707,8,2.410000086,678,23.13725472,5,5,1.24
1.931786287,8,707,4,2.410000086,678,23.13725472,8,7,1.26
1.931786287,8,707,4,2.279999971,712,23.13725472,25,13,3.46
1.931786287,8,707,2,2.279999971,712,23.13725472,16,7,4.11
1.931786287,8,707,2,2.279999971,689,23.13725472,16,11,3.39
1.931786287,8,707,2,2.440000057,689,23.13725472,4,8,3.78
1.931786287,8,707,2,2.440000057,689,22.74509811,-3,13,2.99
1.931786287,8,707,0,2.440000057,689,22.74509811,5,4,0.51
1.931786287,8,707,0,2.440000057,734,22.74509811,17,12,2.44
1.931786287,8,707,0,2.440000057,683,22.74509811,12,15,4.48
1.931786287,8,707,0,2.440000057,683,23.92156982,2,9,0.99
1.931786287,8,707,0,2.440000057,711,23.92156982,7,7,2.39
1.931786287,8,707,0,2.440000057,678,23.92156982,16,10,4.11
1.931786287,8,707,0,2.440000057,715,23.92156982,-5,14,0.14
1.931786287,8,707,0,2.319999933,715,23.92156982,14,7,2.28
1.931786287,8,707,0,2.319999933,715,21.96078491,9,14,4.51
1.931786287,8,707,0,2.319999933,741,21.96078491,12,11,0.33
1.931786287,8,707,0,2.319999933,710,21.96078491,9,14,3.02
1.931786287,8,707,0,2.190000057,710,20.3921566,8,10,4.87
1.931786287,8,707,0,2.190000057,707,20.3921566,30,9,1.27
1.931786287,8,707,0,2.190000057,663,20.3921566,11,11,1.80
1.931786287,8,707,0,2.170000076,688,21.17647171,13,4,2.78
1.931786287,8,707,0,2.170000076,705,21.17647171,24,11,0.90
1.931786287,8,707,0,2.170000076,685,21.17647171,11,14,4.95
1.931786287,8,707,0,2.150000095,685,20.3921566,20,9,2.55
1.931786287,8,707,0,2.150000095,706,20.3921566,17,9,4.10
1.931786287,8,707,0,2.150000095,706,20.3921566,-3,11,4.42
1.931786287,8,707,0,2.150000095,1126,20.3921566,24,14,3.36
1.931786287,8,707,0,3.940000057,1126,38.03921509,29,6,0.74
1.931786287,8,707,8,3.940000057,1126,38.03921509,-1,12,4.42
1.931786287,8,707,8,3.940000057,1126,38.03921509,0,5,3.75
1.931786287,8,707,8,7.21999979,1441,38.03921509,-1,9,2.35
1.931786287,8,707,12,7.21999979,1441,38.03921509,25,4,3.03
1.931786287,8,707,17,7.21999979,1441,38.03921509,0,5,2.49
1.931786287,8,707,17,14.36999989,1434,38.03921509,21,8,1.27
1.931786287,8,707,17,14.36999989,1434,38.03921509,0,9,4.35
1.931786287,8,707,23,14.36999989,1434,38.03921509,20,4,2.52
1.931786287,8,707,23,14.36999989,1434,55.29411697,13,15,0.70
1.931786287,8,707,29,16.64999962,1659,55.29411697,13,7,0.48
1.931786287,8,707,35,16.64999962,1659,55.29411697,-1,7,4.30
1.931786287,8,707,35,21.79000092,2325,55.29411697,16,5,3.30
1.931786287,8,707,41,21.79000092,2325,55.29411697,19,4,3.00
1.931786287,8,707,47,21.79000092,2325,55.29411697,-4,8,0.37
1.931786287,8,707,47,21.79000092,2325,55.29411697,23,5,3.06
1.931786287,8,707,47,12.60999966,2601,32.94117737,-2,4,2.81
1.931786287,8,707,49,12.60999966,2601,32.94117737,28,11,0.48
1.931786287,8,707,52,12.60999966,2601,32.94117737,9,5,4.53
1.931786287,8,707,52,19.29000092,2090,32.94117737,19,4,1.60
1.931786287,8,707,55,19.29000092,2090,32.94117737,20,15,1.59
1.931786287,8,707,59,19.29000092,2090,32.94117737,21,6,3.41
1.931786287,8,707,59,20.64999962,2331,32.94117737,17,15,2.92
1.931786287,8,707,60,20.64999962,2331,32.94117737,19,6,0.41
1.931786287,8,707,60,20.64999962,2331,42.74509811,-3,5,3.47
1.931786287,8,707,60,11.30000019,1866,42.74509811,3,6,1.41
1.931786287,8,707,61,11.30000019,1866,42.74509811,28,5,1.96
1.931786287,8,707,61,3.980000019,1839,42.74509811,19,5,4.77
1.931786287,8,707,60,3.980000019,1839,42.74509811,4,6,2.75
1.931786287,8,707,59,3.980000019,1839,42.74509811,3,6,3.00
1.931786287,8,707,59,9.789999962,1811,36.47058868,12,5,4.49
1.931786287,8,707,59,17.30999947,1795,36.47058868,21,15,0.61
1.931786287,8,707,58,17.30999947,1795,36.47058868,-4,8,3.94
1.931786287,8,707,58,15.11999989,1769,36.47058868,6,8,1.71
1.931786287,8,707,58,15.11999989,1769,59.2156868,19,8,3.92
1.931786287,8,707,57,15.11999989,1769,59.2156868,28,7,4.53
1.931786287,8,707,57,14.18999958,1747,59.2156868,23,13,3.44
1.931786287,8,707,56,14.18999958,1747,59.2156868,25,10,2.98
1.931786287,8,707,56,20.87000084,1708,59.2156868,11,8,3.28
1.931786287,8,707,56,20.30999947,1722,74.50980377,22,14,3.49
1.931786287,8,707,57,20.30999947,1722,74.50980377,28,12,1.66
1.931786287,8,707,57,20.53000069,1734,74.50980377,17,11,0.02
1.931786287,8,707,57,18.96999931,1747,74.50980377,21,12,3.22
1.931786287,8,707,57,18.96999931,1747,72.94117737,12,12,1.27
1.931786287,8,707,57,21.10000038,1751,72.94117737,11,10,3.28
1.931786287,8,707,58,21.10000038,1751,72.94117737,3,14,1.65
1.931786287,8,707,58,19.39999962,1761,72.94117737,14,13,4.12
1.931786287,8,707,59,19.39999962,1761,72.94117737,8,11,3.77
1.931786287,8,707,59,13.21000004,1803,50.98039246,17,12,3.06
1.931786287,8,707,60,13.21000004,1803,50.98039246,29,4,1.82
1.931786287,8,707,62,13.21000004,1803,50.98039246,5,11,1.58
1.931786287,8,707,62,13.05000019,1903,50.98039246,26,13,4.40
1.931786287,8,707,63,13.05000019,1903,50.98039246,-2,13,3.70
1.931786287,8,707,64,13.05000019,1903,50.98039246,14,11,3.20
1.931786287,8,707,64,9.170000076,1981,50.98039246,1,10,0.86
1.931786287,8,707,66,9.170000076,1981,50.98039246,0,15,3.69
1.931786287,8,707,66,9.170000076,1981,31.37254906,-3,10,2.47
1.931786287,8,707,68,9.170000076,1981,31.37254906,14,9,1.83
1.931786287,8,707,68,9.420000076,2063,31.37254906,2,14,0.29
1.931786287,8,707,69,9.420000076,2063,31.37254906,-1,11,4.14
1.931786287,8,707,69,9.729999542,2112,31.37254906,17,8,2.83
1.931786287,8,707,68,9.729999542,2112,31.37254906,30,13,0.15
1.931786287,8,707,68,17.30999947,2088,52.15686417,1,15,0.17
1.931786287,8,707,69,17.30999947,2088,52.15686417,7,12,2.28
1.931786287,8,707,69,16.64999962,2105,52.15686417,12,5,2.70
1.931786287,8,707,70,16.64999962,2105,52.15686417,2,7,3.23
1.931786287,8,707,70,14.73999977,2118,52.15686417,13,6,3.49
1.931786287,8,707,70,14.73999977,2118,47.45098114,5,8,4.26
1.931786287,8,707,70,14.82999992,2124,47.45098114,-3,12,0.68
1.931786287,8,707,70,12.39000034,2140,47.45098114,24,10,1.13
1.931786287,8,707,70,12.39000034,2140,47.45098114,23,12,1.79
1.931786287,8,707,71,12.39000034,2140,47.45098114,10,5,0.32
1.931786287,8,707,71,4.440000057,2163,14.11764717,-1,4,2.53
1.931786287,8,707,72,4.440000057,2163,14.11764717,5,12,0.76
1.931786287,8,707,72,4.559999943,2203,14.11764717,30,6,4.31
1.931786287,8,707,73,4.559999943,2203,14.11764717,13,11,0.62
1.931786287,8,707,73,4.849999905,2230,14.11764717,22,11,0.29
1.931786287,8,707,73,4.849999905,2230,14.50980377,1,11,1.39
1.931786287,8,707,73,4.71999979,2225,14.50980377,16,9,1.04
1.931786287,8,707,73,4.900000095,2230,14.50980377,11,5,1.51
1.931786287,8,707,74,8.079999924,2253,23.92156982,30,10,2.07
1.931786287,8,707,75,8.079999924,2253,23.92156982,11,11,1.05
1.931786287,8,707,75,8.369999886,2301,23.92156982,4,4,0.51
1.931786287,8,707,76,8.369999886,2301,23.92156982,7,12,1.70
1.931786287,8,707,76,6.050000191,2325,23.92156982,25,12,1.82
1.931786287,8,707,76,6.050000191,2325,16.86274529,0,11,0.24
1.931786287,8,707,76,5.820000172,2297,16.86274529,17,12,0.74
1.931786287,8,707,75,5.820000172,2297,16.86274529,20,7,1.68
1.931786287,8,707,75,7.789999962,2282,16.86274529,7,8,3.74
1.931786287,8,707,75,9.170000076,2240,27.45098114,11,11,4.59
1.931786287,8,707,74,9.170000076,2240,27.45098114,11,12,2.39
1.931786287,8,707,73,9.170000076,2240,27.45098114,1,14,3.44
1.931786287,8,707,73,11.72999954,2187,27.45098114,3,7,2.62
1.931786287,8,707,72,11.72999954,2187,27.45098114,7,5,0.40
1.931786287,8,707,72,15.11999989,2191,27.45098114,9,14,1.16
1.931786287,8,707,72,15.11999989,2191,47.05882263,21,8,3.91
1.931786287,8,707,72,15.60000038,2194,47.05882263,17,13,2.56
1.931786287,8,707,72,8.199999809,2173,47.05882263,16,4,0.29
1.931786287,8,707,71,8.199999809,2173,47.05882263,10,7,2.15
1.931786287,8,707,70,8.199999809,2173,47.05882263,25,15,2.01
1.931786287,8,707,70,7.010000229,2104,22.74509811,0,9,2.71
1.931786287,8,707,69,7.010000229,2104,22.74509811,23,8,0.71
1.931786287,8,707,68,7.010000229,2104,22.74509811,14,4,2.58
1.931786287,8,707,68,7.679999828,2028,22.74509811,29,5,3.85
1.931786287,8,707,67,7.679999828,2028,22.74509811,11,10,0.78
1.931786287,8,707,67,4.980000019,1999,22.74509811,14,7,4.62
1.931786287,8,707,66,4.980000019,1999,22.74509811,6,4,4.90
1.931786287,8,707,66,4.980000019,1999,14.50980377,16,15,4.28
1.931786287,8,707,65,4.980000019,1999,14.50980377,7,11,1.32
1.931786287,8,707,65,2.930000067,1230,14.50980377,28,13,4.97
1.931786287,8,707,65,2.299999952,770,14.50980377,-3,11,1.46
1.931786287,8,707,64,2.299999952,770,14.50980377,5,9,0.80
1.931786287,8,707,62,2.299999952,770,14.50980377,-4,7,3.07
1.931786287,8,707,62,2.299999952,723,21.17647171,25,13,3.61
1.931786287,8,707,61,2.299999952,723,21.17647171,21,4,3.01
1.931786287,8,707,58,2.299999952,723,21.17647171,13,5,2.37
1.931786287,8,707,58,2.279999971,677,21.17647171,19,8,1.47
1.931786287,8,707,50,2.279999971,677,21.17647171,-4,9,0.81
1.931786287,8,707,50,2.349999905,685,21.17647171,22,13,2.42
1.931786287,8,707,42,2.349999905,685,21.17647171,13,13,1.10
1.931786287,8,707,42,2.349999905,685,21.56862831,2,10,4.91
1.931786287,8,707,22,2.349999905,685,21.56862831,23,8,2.27
1.931786287,8,707,22,2.319999933,708,21.56862831,27,8,1.65
1.931786287,8,707,14,2.319999933,708,21.56862831,15,7,4.25
1.931786287,8,707,14,2.279999971,699,21.56862831,6,11,0.51
1.931786287,8,707,6,2.279999971,699,21.56862831,-2,15,3.62
1.931786287,8,707,6,2.390000105,670,21.96078491,0,11,4.50
1.931786287,8,707,3,2.390000105,670,21.96078491,12,7,2.05
1.931786287,8,707,2,2.390000105,741,21.96078491,20,4,2.76
1.931786287,8,707,2,2.5,741,21.96078491,22,14,2.29
1.931786287,8,707,2,2.5,741,23.92156982,14,4,4.41
1.931786287,8,707,0,2.5,741,23.92156982,27,13,4.43
1.931786287,8,707,0,2.5,730,23.92156982,14,12,1.26
1.931786287,8,707,0,2.5,709,23.92156982,7,13,2.23
1.931786287,8,707,0,2.170000076,709,23.92156982,20,9,1.40
1.931786287,8,707,0,2.170000076,709,22.74509811,2,4,0.40
1.931786287,8,707,0,2.170000076,710,22.74509811,30,10,1.27
1.931786287,8,707,0,2.170000076,1741,22.74509811,21,4,4.98
1.931786287,8,707,0,2.170000076,1392,22.74509811,11,12,4.61
1.931786287,8,707,0,10.03999996,1392,48.62745285,16,11,4.20
1.931786287,8,707,12,10.03999996,1392,48.62745285,26,9,4.29
1.931786287,8,707,12,10.03999996,1916,48.62745285,30,4,3.72
1.931786287,8,707,12,4.170000076,1916,48.62745285,24,12,1.62
1.931786287,8,707,14,4.170000076,1916,48.62745285,7,6,1.01
1.931786287,8,707,14,11.43999958,1648,48.62745285,30,12,3.57
1.931786287,8,707,23,11.43999958,1648,48.62745285,18,13,2.81
1.931786287,8,707,23,11.43999958,1648,34.50980377,28,13,3.65
1.931786287,8,707,23,14.73999977,2116,34.50980377,3,15,2.89
1.931786287,8,707,26,14.73999977,2116,34.50980377,2,14,3.15
1.931786287,8,707,29,14.73999977,2116,34.50980377,8,11,1.55
1.931786287,8,707,29,12.60999966,1664,34.50980377,4,12,0.78
1.931786287,8,707,31,12.60999966,1664,34.50980377,27,14,2.45
1.931786287,8,707,32,12.60999966,1664,34.50980377,28,7,2.30
1.931786287,8,707,32,3.700000048,1678,14.50980377,3,8,4.11
1.931786287,8,707,29,3.700000048,1678,14.50980377,7,7,4.39
1.931786287,8,707,29,9.229999542,1596,14.50980377,15,12,2.21
1.931786287,8,707,31,9.229999542,1596,14.50980377,27,10,0.89
1.931786287,8,707,31,13.75,1926,14.50980377,26,6,2.03
1.931786287,8,707,35,13.75,1926,14.50980377,1,8,4.56
1.931786287,8,707,35,13.75,1926,65.49019623,-3,13,2.33
1.931786287,8,707,37,13.75,1926,65.49019623,0,7,0.16
1.931786287,8,707,37,21.21999931,2248,65.49019623,25,13,1.62
1.931786287,8,707,41,21.21999931,2248,65.49019623,28,5,3.51
1.931786287,8,707,42,21.21999931,2248,65.49019623,28,8,2.53
1.931786287,8,707,42,3.640000105,1399,65.49019623,1,9,2.07
1.931786287,8,707,34,3.640000105,1399,65.49019623,20,15,0.56
1.931786287,8,707,28,3.640000105,1399,65.49019623,1,12,1.86
1.931786287,8,707,28,2.369999886,773,20.3921566,9,13,1.88
1.931786287,8,707,26,2.369999886,773,20.3921566,10,9,4.82
1.931786287,8,707,25,2.369999886,773,20.3921566,25,9,2.16
1.931786287,8,707,25,2.630000114,796,20.3921566,2,6,3.30
1.931786287,8,707,23,2.630000114,796,20.3921566,0,14,0.77
1.931786287,8,707,23,9.170000076,1731,20.3921566,0,10,1.01
1.931786287,8,707,23,9.170000076,1731,63.92156982,19,13,0.39
1.931786287,8,707,23,21.10000038,2292,63.92156982,22,7,4.29
1.931786287,8,707,28,21.10000038,2292,63.92156982,22,9,0.06
1.931786287,8,707,32,21.10000038,2292,63.92156982,17,5,4.75
1.931786287,8,707,32,21.21999931,1872,63.92156982,26,14,0.47
1.931786287,8,707,34,21.21999931,1872,63.92156982,24,11,4.38
1.931786287,8,707,38,21.21999931,1872,63.92156982,1,13,1.17
1.931786287,8,707,38,28.55999947,2374,77.2549057,15,6,3.20
1.931786287,8,707,43,28.55999947,2374,77.2549057,27,13,2.78
1.931786287,8,707,46,28.55999947,2374,77.2549057,-3,9,4.15
1.931786287,8,707,46,19.18000031,1873,77.2549057,26,11,3.97
1.931786287,8,707,47,19.18000031,1873,77.2549057,23,5,3.18
1.931786287,8,707,49,19.18000031,1873,77.2549057,26,8,1.93
